City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Mackenzie,55.2999,-123.1698,28.4,74,20,6.91,CA,2021-01-13 23:38:38
93,Castro,-24.7911,-50.0119,65.25,94,82,10.29,BR,2021-01-13 23:38:38
94,Cherskiy,68.75,161.3,-20.51,87,100,5.1,RU,2021-01-13 23:38:38
95,Alofi,-19.0595,-169.9187,86.0,74,75,11.5,NU,2021-01-13 23:38:38
96,Guerrero Negro,27.9769,-114.0611,68.27,25,0,12.01,MX,2021-01-13 23:38:38
97,Chumikan,54.7183,135.315,-13.23,85,96,10.33,RU,2021-01-13 23:38:39
98,Pangkalanbuun,-2.6833,111.6167,75.81,95,100,2.37,ID,2021-01-13 23:34:59
99,Bongandanga,1.5,21.05,71.76,59,94,2.98,CD,2021-01-13 23:38:39
100,Vao,-22.6667,167.4833,77.52,84,97,19.55,NC,2021-01-13 23:38:39
101,Lagoa,39.05,-27.9833,60.08,90,66,15.14,PT,2021-01-13 23:38:39
102,Najran,17.4924,44.1277,50.0,50,0,0.36,SA,2021-01-13 23:35:20
103,Walvis Bay,-22.9575,14.5053,70.0,83,100,5.75,NA,2021-01-13 23:38:39
104,Sitka,57.0531,-135.33,37.4,87,75,9.22,US,2021-01-13 23:38:39
105,Los Cordobas,8.894,-76.3546,79.3,83,89,10.04,CO,2021-01-13 23:38:40
106,Mar Del Plata,-38.0023,-57.5575,63.0,67,0,13.8,AR,2021-01-13 23:38:40
107,Liverpool,53.4106,-2.9779,48.0,100,90,6.91,GB,2021-01-13 23:33:56
108,Thompson,55.7435,-97.8558,28.4,100,90,6.91,CA,2021-01-13 23:38:40
109,Arlit,18.7369,7.3853,68.27,24,52,8.63,NE,2021-01-13 23:38:40
110,Atar,20.5169,-13.0499,61.88,28,78,12.46,MR,2021-01-13 23:38:40
