City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Jalu,LY,29.0331,21.5482,53.42,53,0,7.49,clear sky
213,Clyde River,CA,70.4692,-68.5914,-2.2,84,90,2.59,overcast clouds
214,Puerto Colombia,CO,10.9878,-74.9547,82.4,74,75,12.66,broken clouds
215,Amuntai,ID,-2.4177,115.2494,71.83,98,100,1.5,overcast clouds
216,Granadilla De Abona,ES,28.1188,-16.576,64.0,59,20,10.36,few clouds
217,Saposoa,PE,-6.934,-76.7716,93.2,49,40,9.22,light rain
218,San Cristobal,VE,7.7669,-72.225,86.0,58,20,11.5,few clouds
219,Lasa,IT,46.6166,10.7002,26.6,79,0,8.05,clear sky
220,Solnechnyy,RU,50.7214,136.6319,-13.36,86,7,2.91,clear sky
221,Nouadhibou,MR,20.931,-17.0347,66.2,52,0,16.11,clear sky
222,Myanaung,MM,18.2833,95.3167,59.14,81,0,2.1,clear sky
223,Touros,BR,-5.1989,-35.4608,80.6,69,40,11.5,scattered clouds
224,Morlaix,FR,48.5833,-4.0,43.0,87,0,6.91,clear sky
225,Saeby,DK,57.3319,10.5225,23.0,86,0,1.14,clear sky
226,Ouahigouya,BF,13.5828,-2.4216,75.47,17,36,10.54,scattered clouds
227,Kalmunai,LK,7.4167,81.8167,74.95,87,98,5.26,overcast clouds
228,Sheltozero,RU,61.3667,35.3667,-3.14,93,100,6.69,overcast clouds
229,Palasa,IN,18.7667,84.4167,68.36,87,1,3.96,clear sky
230,Nova Olinda Do Norte,BR,-3.8881,-59.0942,81.12,88,100,2.08,overcast clouds
231,Carutapera,BR,-1.195,-46.02,80.74,73,32,8.57,scattered clouds
232,Tandlianwala,PK,31.0333,73.1333,50.47,44,0,2.46,clear sky
233,Gallup,US,35.5281,-108.7426,55.4,13,1,9.22,clear sky
234,Vredendal,ZA,-31.6683,18.5012,62.47,87,0,4.45,clear sky
235,Surt,LY,31.2089,16.5887,59.16,68,15,17.45,few clouds
236,Flin Flon,CA,54.7682,-101.865,5.0,78,90,3.44,overcast clouds
237,Maragheh,IR,37.3917,46.2398,31.95,93,29,3.13,scattered clouds
238,Kedainiai,LT,55.2883,23.9747,1.4,85,2,5.75,clear sky
239,Salalah,OM,17.0151,54.0924,69.8,60,0,2.3,clear sky
240,Nioro,GM,13.35,-15.75,80.82,14,55,6.91,broken clouds
241,Haikou,CN,20.0458,110.3417,62.6,100,90,4.47,fog
242,Karachi,PK,24.9056,67.0822,57.2,47,0,4.81,smoke
243,Kaman,IN,27.65,77.2667,49.12,50,0,2.86,clear sky
244,Atar,MR,20.5169,-13.0499,64.78,24,100,14.2,overcast clouds
245,Roebourne,AU,-20.7833,117.1333,87.21,74,81,15.23,broken clouds
246,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,40,17.27,scattered clouds
247,Khartoum,SD,15.5518,32.5324,71.6,18,0,11.5,clear sky
248,Lensk,RU,60.7253,114.9278,-37.23,78,99,3.78,overcast clouds
249,Axim,GH,4.8699,-2.2405,79.7,81,0,9.46,clear sky
250,Paredon,MX,16.0333,-93.8667,87.58,46,78,14.63,broken clouds
251,Clemencia,CO,10.5665,-75.325,86.0,74,40,13.8,scattered clouds
252,Porto Walter,BR,-8.2686,-72.7439,82.47,91,53,3.02,moderate rain
253,Sola,VU,-13.8833,167.55,83.43,77,99,12.64,overcast clouds
254,Csengele,HU,46.5423,19.8636,27.0,72,91,4.9,overcast clouds
255,Itoman,JP,26.1247,127.6694,62.6,88,20,5.75,few clouds
256,Fairmont,US,39.4851,-80.1426,37.99,92,100,1.01,overcast clouds
257,Buraydah,SA,26.326,43.975,55.4,71,0,6.91,clear sky
258,Teluk Intan,MY,4.0259,101.0213,77.0,94,20,2.46,few clouds
259,Humaita,BR,-7.5061,-63.0208,80.82,77,100,1.3,overcast clouds
260,Nikel,RU,69.4128,30.222,32.0,86,75,3.44,broken clouds
261,Waingapu,ID,-9.6567,120.2641,79.57,78,100,5.91,light rain
262,Tanabe,JP,33.7333,135.3667,54.68,73,65,6.76,broken clouds
263,Bad Kissingen,DE,50.2,10.0833,30.0,75,4,1.01,clear sky
264,Yulara,AU,-25.2406,130.9889,66.2,55,90,13.8,light rain
265,Boyolangu,ID,-8.1181,111.8935,75.96,83,100,1.63,overcast clouds
266,Brokopondo,SR,4.75,-55.1667,78.73,88,63,8.66,moderate rain
267,Pyryatyn,UA,50.2445,32.5107,12.92,90,82,9.82,broken clouds
268,Flinders,AU,-34.5833,150.8552,63.0,47,0,4.0,clear sky
269,Windhoek,NA,-22.5594,17.0832,63.0,88,100,3.44,moderate rain
270,Cururupu,BR,-1.8283,-44.8683,80.28,73,50,4.65,scattered clouds
271,Souillac,MU,-20.5167,57.5167,78.8,94,75,8.05,broken clouds
272,Kirensk,RU,57.7853,108.1119,-21.93,83,100,3.02,overcast clouds
